employee_id,role,soc_code,skill,importance,has_skill,is_gap
1,Auditor,13-2011.00,Active Learning,3.25,False,True
1,Auditor,13-2011.00,Active Listening,3.5,False,True
1,Auditor,13-2011.00,Critical Thinking,3.5,False,True
1,Auditor,13-2011.00,Learning Strategies,2.75,True,False
1,Auditor,13-2011.00,Mathematics,3.38,False,True
1,Auditor,13-2011.00,Monitoring,3.25,False,True
1,Auditor,13-2011.00,Reading Comprehension,3.88,True,False
1,Auditor,13-2011.00,Science,1.25,False,True
1,Auditor,13-2011.00,Speaking,3.38,False,True
1,Auditor,13-2011.00,Writing,3.5,True,False
2,Sales Executive,13-1111.00,Active Learning,3.25,False,True
2,Sales Executive,13-1111.00,Active Listening,4.12,True,False
2,Sales Executive,13-1111.00,Critical Thinking,4.12,False,True
2,Sales Executive,13-1111.00,Learning Strategies,3.0,True,False
2,Sales Executive,13-1111.00,Mathematics,3.0,False,True
2,Sales Executive,13-1111.00,Monitoring,3.88,True,False
2,Sales Executive,13-1111.00,Reading Comprehension,4.12,False,True
2,Sales Executive,13-1111.00,Science,1.88,True,False
2,Sales Executive,13-1111.00,Speaking,4.0,True,False
2,Sales Executive,13-1111.00,Writing,4.0,False,True
3,Helpdesk,13-1111.00,Active Learning,3.25,False,True
3,Helpdesk,13-1111.00,Active Listening,4.12,False,True
3,Helpdesk,13-1111.00,Critical Thinking,4.12,False,True
3,Helpdesk,13-1111.00,Learning Strategies,3.0,False,True
3,Helpdesk,13-1111.00,Mathematics,3.0,True,False
3,Helpdesk,13-1111.00,Monitoring,3.88,False,True
3,Helpdesk,13-1111.00,Reading Comprehension,4.12,False,True
3,Helpdesk,13-1111.00,Science,1.88,True,False
3,Helpdesk,13-1111.00,Speaking,4.0,True,False
3,Helpdesk,13-1111.00,Writing,4.0,False,True
4,Hr Executive,13-1111.00,Active Learning,3.25,False,True
4,Hr Executive,13-1111.00,Active Listening,4.12,True,False
4,Hr Executive,13-1111.00,Critical Thinking,4.12,True,False
4,Hr Executive,13-1111.00,Learning Strategies,3.0,True,False
4,Hr Executive,13-1111.00,Mathematics,3.0,False,True
4,Hr Executive,13-1111.00,Monitoring,3.88,False,True
4,Hr Executive,13-1111.00,Reading Comprehension,4.12,False,True
4,Hr Executive,13-1111.00,Science,1.88,False,True
4,Hr Executive,13-1111.00,Speaking,4.0,False,True
4,Hr Executive,13-1111.00,Writing,4.0,False,True
5,Account Manager,13-1111.00,Active Learning,3.25,False,True
5,Account Manager,13-1111.00,Active Listening,4.12,False,True
5,Account Manager,13-1111.00,Critical Thinking,4.12,True,False
5,Account Manager,13-1111.00,Learning Strategies,3.0,False,True
5,Account Manager,13-1111.00,Mathematics,3.0,True,False
5,Account Manager,13-1111.00,Monitoring,3.88,True,False
5,Account Manager,13-1111.00,Reading Comprehension,4.12,False,True
5,Account Manager,13-1111.00,Science,1.88,False,True
5,Account Manager,13-1111.00,Speaking,4.0,True,False
5,Account Manager,13-1111.00,Writing,4.0,False,True
6,Helpdesk,13-1111.00,Active Learning,3.25,False,True
6,Helpdesk,13-1111.00,Active Listening,4.12,True,False
6,Helpdesk,13-1111.00,Critical Thinking,4.12,True,False
6,Helpdesk,13-1111.00,Learning Strategies,3.0,True,False
6,Helpdesk,13-1111.00,Mathematics,3.0,False,True
6,Helpdesk,13-1111.00,Monitoring,3.88,True,False
6,Helpdesk,13-1111.00,Reading Comprehension,4.12,True,False
6,Helpdesk,13-1111.00,Science,1.88,False,True
6,Helpdesk,13-1111.00,Speaking,4.0,False,True
6,Helpdesk,13-1111.00,Writing,4.0,False,True
